sku,store_view_code,name,description,short_description
24-MB01,luma_se_sv,Joust Duffleväska,"<P> Den sportiga Joust Duffle Bag kan inte slå - inte i gymmet, inte på bagagekarusellen, inte någonstans. Stor nog att dra en basket eller fotboll och vissa tränare med gott om utrymme för att skona, det är idealiskt för idrottare med ställen att gå. <P>
<Ul>
<Li> Dubbeltopp handtag. </ Li>
<Li> Justerbar axelrem. </ Li>
<Li> Hellång dragkedja. </ Li>
<Li> L 29"" x W 13"" x H 11"" . </ Li>
</ Ul>",
24-MB04,luma_se_sv,Strive Axelväska,"<P> Bekvämlighet är nästan ingenting när dagen är fylld med action. Så oavsett om du är på väg till klassen, gym, eller obesegrad vägen, se till att du har fått din Sträva Shoulder Pack fylld med alla dina nödvändigheter, och extramaterial som väl. </ P>
<Ul>
<Li> Blixtlåshuvudfack. </ Li>
<Li> Front ficka med dragkedja. </ Li>
<Li> Side mesh ficka. </ Li>
<Li> Mobiltelefon ficka på bandet. </ Li>
<Li> Justerbar axelrem och topp bärhandtag. </ Li>
</ Ul>",
24-MB03,luma_se_sv,Crown Summit Ryggsäck,"<P> The Crown Summit Backpack är lika hemma i ett gym skåp, studera kub eller en valp tält, så se din är packad med böcker, en påse lunch, vattenflaskor, yoga blocket, laptop, eller vad du vill i hand. Robust nog för dagen vandringar och camping resor, har två stora blixtlåsförsedda fack och vadderade, justerbara axelband. </ P>
<Ul>
<Li> Top handtag. </ Li>
<Li> Genomföring hål. </ Li>
<Li> Tvåvägs dragkedjor. </ Li>
<Li> H 20"" x B 14"" x D 12"" . </ Li>
<Li> Vikt: 2 lbs, 8 oz. Volym:. 29 L </ li>
<Ul>",
24-MB05,luma_se_sv,Wayfarer Kurirväska,"<P> Perfekt för klass, arbete eller på gym, Wayfarer Messenger-väska är packad med fickor. Den dubbla spänne flik stängning avslöjar en organisatorisk panel och rymlig huvudfacket har utrymmen för din bärbara dator och en förändring av kläder. En justerbar axelrem och greppvänligt handtag lovar enkel transport. </ P>
<Ul>
<Li> Flera inre fickor. </ Li>
<Li> Tillverkad av slitstark nylon. </ Li>
</ Ul>",
24-MB06,luma_se_sv,Rival Field kurirväska,"<P> Rival Field Messenger packar alla campus, studio eller spår väsentligheter inuti en unik design av mjukt, texturerat läder - med massor av karaktär att skona. Två utvändiga fickor hålla alla dina mindre föremål till hands, och rymlig interiör erbjuder ännu mer utrymme. </ P>
<Ul>
<Li> Läderkonstruktion. </ Li>
<Li> Justerbar tyg bärrem. </ Li>
<Li> Dimensioner:. 18"" x 10"" x 4"" </ li>
</ Ul>",
24-MB02,luma_se_sv,Fusion Ryggsäck,"<P> Med Fusion Ryggsäck fastspänd på, är varje vandringen ett äventyr - även en bussresa till arbete. Det är delvis på grund av två stora blixtlåsförsedda fack lagra allt du behöver, medan en främre ficka med dragkedja och sido mesh påsar är perfekta för stashing det där lilla extra, ifall du ändrar dig och ta ledigt. </ P>
<Ul>
<Li> Slitstark nylonkonstruktion. </ Li>
<Li> 2 huvudsakliga blixtlåsförsedda fack. </ Li>
<Li> en yttre ficka med dragkedja. </ Li>
<Li> Mesh sidopåsar. </ Li>
<Li> Vadderad, justerbara remmar. </ Li>
<Li> Top bärhandtag. </ Li>
<Li> Dimensioner:. 18"" x 10"" x 6"" </ li>
</ Ul>",
24-UB02,luma_se_sv,,"<P> Bra för strand trips, spåra möter, Yoga retreater och mer, är Impulse Duffle följeslagare du kommer att vilja vid din sida. En stor U-formad öppning gör packningen en bekymmersfri affär, medan en blixtlåsförsedd innerficka håller smycken och andra små värdesaker säkert tucked utom synhåll. </ P>
<Ul>
<Li> På hjul. </ Li>
<Li> Dubbel handtag. </ Li>
<Li> Retractable handtag högst upp. </ Li>
<Li> W 14"" x H 26"" x D 11"" . </ Li>
</ Ul>",
24-WB01,luma_se_sv,Voyage Yoga Väska,"<P> Allt du behöver för en resa till gymmet passar inuti förvånansvärt rymlig Voyage Yoga Bag. Stock det med en vattenflaska, ombyte, par skor, och även några skönhetsprodukter. Passar inuti ett skåp och blixtlås stängt för säkerheten. </ P>
<Ul>
<Li> Slip ficka på framsidan. </ Li>
<Li> Kontrast rörledningar. </ Li>
<Li> Slitstark nylonkonstruktion. </ Li>
</ Ul>",
24-WB02,luma_se_sv,,"<P> Tävla Track Tote har en mängd motion leveranser med lätthet. Stash din handduk, jacka och street skor inuti. Tuck vattenflaskor i lättåtkomliga externa utrymmen. Perfekt för resor till gymmet eller yoga studio, med dubbla topp handtag för bekvämlighet till och från. <P>
<Ul>
<Li> Tvåvägs dragkedjor. </ Li>
<Li> Kontrast detaljer. </ Li>
<Li> W 22,0"" x H 17"" x D 10"" . </ Li>
</ Ul>",
24-WB05,luma_se_sv,Savy Axel Tote,"<P> power walking till gymmet eller promenera till den lokala kaffe låter Savvy Shoulder hänger du stuva dina viktigaste i sportig stil! En topplastutrymmet ger snabb och enkel tillgång till större föremål, medan fickor med blixtlås på framsidan och sido hold kontanter, kreditkort och telefon. </ P>
<Ul>
<Li> Vattenfast skalet. </ Li>
<Li> vattenflaska ficka. </ Li>
<Li> Vadderat, en ledad axelrem. </ Li>
<Li> Dimensioner: W 21"" x H 15"" x D 10"" </ li>
</ Ul>",
